DNA_Tube	specimenID	speciesID	speciesIDTribe	sex	Assembly.status
KHA4	S_KHA4	Trodub	Tropheini	M	done
KHA5	S_KHA5	Trodub	Tropheini	F	done
LCD1	S_LCD1	Petred	Tropheini	M	done
LCD5	S_LCD5	Petred	Tropheini	F	done
LCF1	S_LCF1	Trokir	Tropheini	M	done
LCF3	S_LCF3	Trokir	Tropheini	F	done
LCF6	S_LCF6	Petmos	Tropheini	M	done
LCF8	S_LCF8	Petmos	Tropheini	F	done
LDC6	S_LDC6	Petgia	Tropheini	M	done
LDE3	S_LDE3	Petkip	Tropheini	M	done
LDE4	S_LDE4	Petkip	Tropheini	F	done
LDI5	S_LDI5	Trompi	Tropheini	M	done
LDI7	S_LDI7	Trompi	Tropheini	F	done
LFA6	S_LFA6	Petiko	Tropheini	M	done
LFA8	S_LFA8	Petiko	Tropheini	F	done
LGA5	S_LGA5	TrobrK	Tropheini	M	done
LGA6	S_LGA6	TrobrK	Tropheini	F	done
LGB5	S_LGB5	Petrai	Tropheini	M	done
LGB8	S_LGB8	Petrai	Tropheini	F	done
LHB1	S_LHB1	Pettex	Tropheini	M	done
LHB3	S_LHB3	Pettex	Tropheini	F	done
LHD9	S_LHD9	Tromor	Tropheini	M	done
IWC9	S_IWC9	Pettre	Tropheini	M	done
JWG4	S_JWG4	Troann	Tropheini	M	done
JXH5	S_JXH5	Petort	Tropheini	M	done
KCE7	S_KCE7	Simmar	Tropheini	M	done
KCF3	S_KCF3	Simmar	Tropheini	F	done
KEA4	S_KEA4	Petkas	Tropheini	F	done
KEB4	S_KEB4	Petkas	Tropheini	M	done
KEF2	S_KEF2	Troluk	Tropheini	M	done
LEF8	S_LEF8	Tropol	Tropheini	M	done
LEF9	S_LEF9	Tropol	Tropheini	F	done
JAG2	S_JAG1	Tylpol	Tylochromini	M	done
JAH5	S_JAH4	Tylpol	Tylochromini	F	done
JED5	S_JED5	NeoveS	Lamprologini	F	done
LHD2	S_LHD2	Petgia	Tropheini	F	done
AYC7	S_AYC7	Psccur	Tropheini	M	done
IQB9	S_IQB9	Pcybri	Cyprichromini	M	done
