Species ID	Full Name	Tribe	Origin	Breeding type	Breeding mode	Fishbase Link
JulmaS	Julidochromis marlieri South	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8608
Julmrk	Julidochromis marksmithi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Julorn	Julidochromis ornatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8609
Julreg	Julidochromis regani	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8610
JulreK	Julidochromis regani Kigoma	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8610
Jultra	Julidochromis transcriptus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8611
Julunt	"Julidochromis sp. ""Unterfels"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	NA
Lamcal	Lamprologus callipterus	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8612
Lamkun	Lamprologus kungweensis	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8614
Lamlem	Lamprologus lemairii	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8615
Lammel	Lamprologus meleagris	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/47084
Lamoce	Lamprologus ocellatus	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8619
LamorC	Lamprologus ornatipinnis Congo	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8620
Lamorn	Lamprologus ornatipinnis North	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8620
LamorS	Lamprologus ornatipinnis South	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8620
Lamsig	Lamprologus signatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8621
Lamspe	Lamprologus speciosus	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/47105
Lamsta	Lamprologus stappersi	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8622
Lamtig	Lamprologus tigripictilis	Lamprologini	Congo River	Substrate spawning	cave spawning	http://www.fishbase.se/summary/61842
Lchaur	Limnochromis auritus	Limnochromini	Lake Tanganyika	Mouthbrooding	biparental brooding	http://www.fishbase.se/summary/8636
LepatK	Lepidiolamprologus attenuatus Kipili	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.org/summary/8626
Lepatt	Lepidiolamprologus attenuatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/8626
Lepcun	Lepidiolamprologus cunningtoni	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/8627
Lepelo	Lepidiolamprologus elongatus	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/8628
Lepkam	Lepidiolamprologus kamambae	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/66707
Lepken	Lepidiolamprologus kendalli	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/8629
LepmeK	Lepidiolamprologus meeli kipili	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	NA
Lepmim	Lepidiolamprologus mimicus	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/64225
Leppro	Lepidiolamprologus profundicola	Lamprologini	Lake Tanganyika	Substrate spawning	open spawning	http://www.fishbase.org/summary/8631
Lesper	Lestradea perspicax	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8632
Lessta	Lestradea stappersii	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8633
Limdar	Limnotilapia dardennii	Tropheini	Lake Tanganyika	Mouthbrooding	maternal bower brooding	http://www.fishbase.org/summary/8638
Loblab	Lobochilotes labiatus	Tropheini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8639
Mdcrot	Microdontochromis rotundiventralis	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/47889
Mdcten	Microdontochromis tenuidentata	Ectodini	Lake Tanganyika	Mouthbrooding	maternal territorial brooding	http://www.fishbase.org/summary/8640
Neobif	Neolamprologus bifasciatus	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.org/summary/51690
Neobou	Neolamprologus boulengeri	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8650
Neobre	Neolamprologus brevis	Lamprologini	Lake Tanganyika	Substrate spawning	shell spawning	http://www.fishbase.se/summary/8651
Neobri	Neolamprologus brichardi	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8652
NeobriK	Neolamprologus brichardi KAKU	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8652
NeobrM	"Neolamprologus brevis sp. ""MAGARA"""	Lamprologini	Lake Tanganyika	Substrate spawning	cave spawning	http://www.fishbase.se/summary/8651
